groupID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,normCount_Control,normCount_Experimental,normCount.Control_S1,normCount.Control_S2,normCount.Control_S3,normCount.Experimental_S4,normCount.Experimental_S5,normCount.Experimental_S6
ABRAXAS2,177.257683919753,0.110281270552472,0.370492844018637,0.297661000294312,0.765961912079727,0.996294710336961,163.547176126216,190.968191713289,139.553579869081,149.153254722335,201.934693787233,177.924116905016,279.03719266559,115.94326556926
ABT1,640.071971946991,0.0236151980593175,0.204272449682356,0.115606378129009,0.907964507788144,0.996577394764533,638.579519795995,641.564424097986,776.389634482916,659.635520884693,479.713404020376,595.276983719252,657.158088209824,672.258200364884
ACAA2,435.909735492214,-0.338967946992028,0.281412727246399,-1.20452244754103,0.228387711218465,0.98168489642748,487.147271661328,384.672199323101,526.76562542132,475.819890064914,458.856299497751,538.165538786777,291.422655525421,324.428403657104
ACAD8,117.477549370064,-0.0132152094811175,0.500321641519071,-0.0264134276522471,0.978927584169318,0.998987745956335,111.892735438181,123.062363301947,93.3633104757937,171.211130420708,71.1037654180399,137.287127241525,173.396480037625,58.5034826266908
ACADM,125.069190224354,-0.0544188946103772,0.469339168421656,-0.115947907764406,0.907693826810146,0.996577394764533,127.982839150055,122.155541298653,128.743091287673,157.556254988382,97.6491711741081,82.3722763449149,136.240091458134,147.85425609291
ACADSB,71.3650213869268,0.0436804104731086,0.574854663841502,0.0759851371496433,0.939430922846074,0.998879356112684,71.7375867657799,70.9924560080737,104.173799057201,69.3247521948881,41.7142090452501,88.9620584525081,63.384427576779,60.6308819949341
ACAP2,111.212144396035,-0.3551468246016,0.505857970242869,-0.702068259260776,0.48263659574542,0.994447194724684,116.370608410634,106.053680381435,156.260698585802,81.9292525939587,110.921874052142,61.5046330042031,184.324829619829,72.3315785202723
ACAP3,19.5385230542255,-1.7096205865661,1.14926180438936,-1.48758148929736,0.13686129808549,0.974401534329554,32.286291868013,6.790754240438,11.7932602706266,16.8060005320941,68.2596148013183,12.0812671972542,5.09989647169486,3.19109905236495
ACBD3,436.41358647057,0.519656929131563,0.241234399320324,2.15415765991788,0.0312278099929244,0.742691457963059,360.289248417978,512.537924523162,458.954378865218,369.73201170607,252.181354682648,478.857499818438,572.645518107452,486.110755643595
ACBD5,118.732018033284,0.270601660859064,0.487113421316821,0.555520847952705,0.578538454260673,0.996294710336961,106.400782055646,131.063254010922,121.863689463141,59.8713768955852,137.46727980821,117.517780918745,166.11091364949,109.56106746453
