28277
NECAP2	NECAP2	MissingGeneType
LINC01772	LINC01772	MissingGeneType
CROCCP3	CROCCP3	MissingGeneType
RNVU1-18	RNVU1-18	MissingGeneType
RNU1-3	RNU1-3	MissingGeneType
RNU1-4	RNU1-4	MissingGeneType
RNU1-2	RNU1-2	MissingGeneType
RNU1-1	RNU1-1	MissingGeneType
LINC01783	LINC01783	MissingGeneType
MIR3675	MIR3675	MissingGeneType
ADAMTS4	ADAMTS4	MissingGeneType
IMPA1	IMPA1	MissingGeneType
IFI27	IFI27	MissingGeneType
CROCCP2	CROCCP2	MissingGeneType
MST1P2	MST1P2	MissingGeneType
ESPNP	ESPNP	MissingGeneType
LOC105376805	LOC105376805	MissingGeneType
DOCK5	DOCK5	MissingGeneType
STX7	STX7	MissingGeneType
ZDHHC21	ZDHHC21	MissingGeneType
TJP1	TJP1	MissingGeneType
SNORD73B	SNORD73B	MissingGeneType
MIR3972	MIR3972	MissingGeneType
GOLGA8T	GOLGA8T	MissingGeneType
OR12D2	OR12D2	MissingGeneType
RPS18	RPS18	MissingGeneType
CDKN2A	CDKN2A	MissingGeneType
KCNJ12	KCNJ12	MissingGeneType
PRPF31	PRPF31	MissingGeneType
CYP20A1	CYP20A1	MissingGeneType
MS4A14	MS4A14	MissingGeneType
ABCF1	ABCF1	MissingGeneType
CLTB	CLTB	MissingGeneType
KDM4B	KDM4B	MissingGeneType
ASB13	ASB13	MissingGeneType
CALHM2	CALHM2	MissingGeneType
ARHGEF10L	ARHGEF10L	MissingGeneType
LINC01654	LINC01654	MissingGeneType
FAM168B	FAM168B	MissingGeneType
ODR4	ODR4	MissingGeneType
SLC48A1	SLC48A1	MissingGeneType
SPDEF	SPDEF	MissingGeneType
PLA2G2D	PLA2G2D	MissingGeneType
MIR4695	MIR4695	MissingGeneType
PRXL2B	PRXL2B	MissingGeneType
FUZ	FUZ	MissingGeneType
ZNF536	ZNF536	MissingGeneType
LARP4	LARP4	MissingGeneType
USP19	USP19	MissingGeneType
EMC1-AS1	EMC1-AS1	MissingGeneType
CRP	CRP	MissingGeneType
CD79B	CD79B	MissingGeneType
TGFBRAP1	TGFBRAP1	MissingGeneType
SNRPE	SNRPE	MissingGeneType
TNR	TNR	MissingGeneType
DDX39B	DDX39B	MissingGeneType
SYT17	SYT17	MissingGeneType
HMBOX1	HMBOX1	MissingGeneType
AKR7L	AKR7L	MissingGeneType
GPM6A	GPM6A	MissingGeneType
PEX5L	PEX5L	MissingGeneType
LOC100506730	LOC100506730	MissingGeneType
HERC4	HERC4	MissingGeneType
GOLGA8R	GOLGA8R	MissingGeneType
ACBD5	ACBD5	MissingGeneType
VAMP7	VAMP7	MissingGeneType
GPANK1	GPANK1	MissingGeneType
DMAC2	DMAC2	MissingGeneType
LOC105378614	LOC105378614	MissingGeneType
MICOS10	MICOS10	MissingGeneType
LINC00339	LINC00339	MissingGeneType
TCHHL1	TCHHL1	MissingGeneType
NOL11	NOL11	MissingGeneType
RPS14P3	RPS14P3	MissingGeneType
ZNF33A	ZNF33A	MissingGeneType
RPL28	RPL28	MissingGeneType
TIMM10	TIMM10	MissingGeneType
CD36	CD36	MissingGeneType
MARCHF1	MARCHF1	MissingGeneType
NPLOC4	NPLOC4	MissingGeneType
PHACTR4	PHACTR4	MissingGeneType
TMCO4	TMCO4	MissingGeneType
TBXT	TBXT	MissingGeneType
RPL3	RPL3	MissingGeneType
ZNF414	ZNF414	MissingGeneType
PAAF1	PAAF1	MissingGeneType
ZC3H14	ZC3H14	MissingGeneType
ZBTB8OS	ZBTB8OS	MissingGeneType
GRB7	GRB7	MissingGeneType
UBXN10-AS1	UBXN10-AS1	MissingGeneType
LINC01757	LINC01757	MissingGeneType
LINC01141	LINC01141	MissingGeneType
MIR6084	MIR6084	MissingGeneType
PINK1-AS	PINK1-AS	MissingGeneType
PHB	PHB	MissingGeneType
PGM1	PGM1	MissingGeneType
TMEM259	TMEM259	MissingGeneType
RHNO1	RHNO1	MissingGeneType
KIR3DL1	KIR3DL1	MissingGeneType
GTF2H2	GTF2H2	MissingGeneType
HLA-DOB	HLA-DOB	MissingGeneType
C1orf43	C1orf43	MissingGeneType
ATP7B	ATP7B	MissingGeneType
CERS3	CERS3	MissingGeneType
OR10Q1	OR10Q1	MissingGeneType
OR10J5	OR10J5	MissingGeneType
ZMAT5	ZMAT5	MissingGeneType
OR11H6	OR11H6	MissingGeneType
NIFK-AS1	NIFK-AS1	MissingGeneType
ABHD16A	ABHD16A	MissingGeneType
SLC14A2	SLC14A2	MissingGeneType
MIR1256	MIR1256	MissingGeneType
ASCC1	ASCC1	MissingGeneType
ANXA8	ANXA8	MissingGeneType
ODF2L	ODF2L	MissingGeneType
SULT1C3	SULT1C3	MissingGeneType
OSBPL2	OSBPL2	MissingGeneType
CHODL	CHODL	MissingGeneType
KCTD10	KCTD10	MissingGeneType
POGLUT1	POGLUT1	MissingGeneType
ORC6	ORC6	MissingGeneType
GNMT	GNMT	MissingGeneType
BBS9	BBS9	MissingGeneType
PRRT3	PRRT3	MissingGeneType
NLGN4Y	NLGN4Y	MissingGeneType
FBXO21	FBXO21	MissingGeneType
CSF2RA	CSF2RA	MissingGeneType
COBLL1	COBLL1	MissingGeneType
FILIP1L	FILIP1L	MissingGeneType
ENTPD1	ENTPD1	MissingGeneType
DDR1	DDR1	MissingGeneType
KIR2DS4	KIR2DS4	MissingGeneType
ANKRD30B	ANKRD30B	MissingGeneType
SUCLG2	SUCLG2	MissingGeneType
ACHE	ACHE	MissingGeneType
DDO	DDO	MissingGeneType
IRF7	IRF7	MissingGeneType
ZNF90	ZNF90	MissingGeneType
FCGR2A	FCGR2A	MissingGeneType
TAF15	TAF15	MissingGeneType
ZNF174	ZNF174	MissingGeneType
NHEJ1	NHEJ1	MissingGeneType
PIP4K2C	PIP4K2C	MissingGeneType
PEAK1	PEAK1	MissingGeneType
EPS8L1	EPS8L1	MissingGeneType
EFCC1	EFCC1	MissingGeneType
ZNF552	ZNF552	MissingGeneType
AGMAT	AGMAT	MissingGeneType
EHMT1	EHMT1	MissingGeneType
MMRN2	MMRN2	MissingGeneType
VASH2	VASH2	MissingGeneType
LINC01635	LINC01635	MissingGeneType
BCAP29	BCAP29	MissingGeneType
SENP1	SENP1	MissingGeneType
MIR4418	MIR4418	MissingGeneType
SUN1	SUN1	MissingGeneType
