groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
ANKS6,2,0,0,1,NA,NA,NA,1
ANLN,2,0,0,1,NA,NA,NA,1
ANOS1,2,0,0,1,NA,NA,NA,1
ANP32A,4,0,0,1,NA,NA,NA,1
ANP32B,3,0,0,1,NA,NA,NA,1
ANP32E,3,0,0,1,NA,NA,NA,1
ANTXR1,2,0,0,1,NA,NA,NA,1
ANTXR2,7,0,0,1,NA,NA,NA,1
ANXA11,6,0,0,1,NA,NA,NA,1
ANXA2,2,0,0,1,NA,NA,NA,1
ANXA3,2,0,0,1,NA,NA,NA,1
ANXA4,5,0,0,1,NA,NA,NA,1
ANXA5,2,0,0,1,NA,NA,NA,1
ANXA6,4,0,0,1,NA,NA,NA,1
ANXA7,2,0,0,1,NA,NA,NA,1
AOPEP,2,0,0,1,NA,NA,NA,1
AOX1,2,0,0,1,NA,NA,NA,1
AP1B1,3,0,0,1,NA,NA,NA,1
AP1G1,3,0,0,1,NA,NA,NA,1
AP1S1,2,0,0,1,NA,NA,NA,1
AP1S2,3,0,0,1,NA,NA,NA,1
AP1S3,3,0,0,1,NA,NA,NA,1
AP2A1,2,0,0,1,NA,NA,NA,1
AP2B1,3,0,0,1,NA,NA,NA,1
AP3D1,3,0,0,1,NA,NA,NA,1
AP3M1,4,0,0,1,NA,NA,NA,1
AP3M2,3,0,0,1,NA,NA,NA,1
AP3S1,3,0,0,1,NA,NA,NA,1
AP3S2,2,0,0,1,NA,NA,NA,1
AP4B1,2,0,0,1,NA,NA,NA,1
AP4M1,3,0,0,1,NA,NA,NA,1
AP4S1,2,0,0,1,NA,NA,NA,1
AP5B1,4,0,0,1,NA,NA,NA,1
AP5M1,5,0,0,1,NA,NA,NA,1
AP5S1,3,0,0,1,NA,NA,NA,1
AP5Z1,2,0,0,1,NA,NA,NA,1
APBA3,2,0,0,1,NA,NA,NA,1
APBB2,11,0,0,1,NA,NA,NA,1
APC,4,0,0,1,NA,NA,NA,1
APCDD1L,2,0,0,1,NA,NA,NA,1
APEX2,3,0,0,1,NA,NA,NA,1
APH1A,2,0,0,1,NA,NA,NA,1
APH1B,2,0,0,1,NA,NA,NA,1
API5,2,0,0,1,NA,NA,NA,1
APLN,3,0,0,1,NA,NA,NA,1
APLP2,3,0,0,1,NA,NA,NA,1
APOBEC3C,2,0,0,1,NA,NA,NA,1
APOBEC3F,2,0,0,1,NA,NA,NA,1
APOL1,2,0,0,1,NA,NA,NA,1
APOL2,2,0,0,1,NA,NA,NA,1
APOLD1,3,0,0,1,NA,NA,NA,1
APOO,2,0,0,1,NA,NA,NA,1
APOOL,3,0,0,1,NA,NA,NA,1
APPBP2,3,0,0,1,NA,NA,NA,1
APPL1,5,0,0,1,NA,NA,NA,1
APPL2,2,0,0,1,NA,NA,NA,1
APTX,3,0,0,1,NA,NA,NA,1
AQR,5,0,0,1,NA,NA,NA,1
AR,5,0,0,1,NA,NA,NA,1
ARAP3,2,0,0,1,NA,NA,NA,1
ARB2A,4,0,0,1,NA,NA,NA,1
ARCN1,3,0,0,1,NA,NA,NA,1
